	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
     NNC_CCP	  964	1.18%	  874	90.66% Misclassified as: JJD_CCP-71(7.37)% | NNC-5(0.52)% | RBD_CCP-3(0.31)% | JJN_CCP-2(0.21)% | VBOF_CCP-2(0.21)% | CCB-1(0.10)% | FW-1(0.10)% | JJN-1(0.10)% | PRI_CCP-1(0.10)% | VBTR_CCP-1(0.10)% | VBTS_CCP-1(0.10)% | VBW_CCP-1(0.10)% | 
         DTP	  927	1.14%	  927	100.00% Misclassified as: 
         RBI	  820	1.00%	  739	90.12% Misclassified as: CCP-77(9.39)% | CCB-1(0.12)% | CCT-1(0.12)% | JJD_CCP-1(0.12)% | NNC-1(0.12)% | 
         PRO	  738	0.90%	  731	99.05% Misclassified as: PRL-3(0.41)% | FW-2(0.27)% | PRO_LM-1(0.14)% | RBL-1(0.14)% | 
         RBW	  696	0.85%	  602	86.49% Misclassified as: VBW-28(4.02)% | JJD-16(2.30)% | RBD-14(2.01)% | NNC-11(1.58)% | RBL-11(1.58)% | RBW_CCP-6(0.86)% | CCB-4(0.57)% | VBTS-2(0.29)% | FW-1(0.14)% | VBOF-1(0.14)% | 
        VBOF	  675	0.83%	  461	68.30% Misclassified as: VBTS-140(20.74)% | NNC-20(2.96)% | VBTR-12(1.78)% | RBD-9(1.33)% | VBTF-7(1.04)% | VBTS_VBOF-6(0.89)% | JJD-4(0.59)% | VBW-4(0.59)% | VBOF_CCP-3(0.44)% | FW-1(0.15)% | JJCS_JJD-1(0.15)% | NNP-1(0.15)% | RBW-1(0.15)% | VBAF-1(0.15)% | VBOB-1(0.15)% | VBOL-1(0.15)% | VBRF_CCP-1(0.15)% | VBTF_VBOF-1(0.15)% | 
         RBL	  666	0.82%	  596	89.49% Misclassified as: RBW-30(4.50)% | CCT-17(2.55)% | RBL_CCP-5(0.75)% | RBL_NNP-4(0.60)% | CCU-3(0.45)% | NNC-3(0.45)% | RBR-2(0.30)% | VBTS-2(0.30)% | JJD-1(0.15)% | RBD-1(0.15)% | VBH-1(0.15)% | VBTR-1(0.15)% | 
     RBW_CCP	  636	0.78%	  611	96.07% Misclassified as: JJD_CCP-10(1.57)% | RBD_CCP-7(1.10)% | RBW-3(0.47)% | NNC_CCP-2(0.31)% | CCB-1(0.16)% | NNC-1(0.16)% | VBTS_CCP-1(0.16)% | 
         PRI	  579	0.71%	  559	96.55% Misclassified as: JJD-7(1.21)% | PRQ-7(1.21)% | NNC-4(0.69)% | CCT-1(0.17)% | RBM-1(0.17)% | 
        VBAF	  525	0.64%	  473	90.10% Misclassified as: VBW-29(5.52)% | VBTR_VBAF-6(1.14)% | JJD-3(0.57)% | NNC-3(0.57)% | NNP-2(0.38)% | VBTS_VBAF-2(0.38)% | FW-1(0.19)% | NNP_CCP-1(0.19)% | RBD-1(0.19)% | RBD_CCP-1(0.19)% | VBOF-1(0.19)% | VBTF-1(0.19)% | VBTR-1(0.19)% | 
        NNPA	  468	0.57%	  448	95.73% Misclassified as: NNP-19(4.06)% | CDB-1(0.21)% | 
    PRSP_CCP	  466	0.57%	  466	100.00% Misclassified as: 
         RBF	  431	0.53%	  420	97.45% Misclassified as: VBN_CCP-4(0.93)% | VBN-3(0.70)% | NNC-2(0.46)% | FW-1(0.23)% | JJD-1(0.23)% | 
         VBH	  409	0.50%	  405	99.02% Misclassified as: VBW-2(0.49)% | FW-1(0.24)% | VBAF-1(0.24)% | 
     JJN_CCP	  398	0.49%	  360	90.45% Misclassified as: PRI_CCP-24(6.03)% | JJD_CCP-4(1.01)% | NNC_CCP-4(1.01)% | JJN-2(0.50)% | CDB_CCP-1(0.25)% | NNC-1(0.25)% | NNP_CCP-1(0.25)% | VBAF-1(0.25)% | 
         PRS	  349	0.43%	  347	99.43% Misclassified as: PRSP-1(0.29)% | RBT-1(0.29)% | 
         JJC	  301	0.37%	  281	93.36% Misclassified as: JJCC-10(3.32)% | JJD-5(1.66)% | NNC-2(0.66)% | RBD-1(0.33)% | VBAF-1(0.33)% | VBW-1(0.33)% | 
         RBB	  286	0.35%	  284	99.30% Misclassified as: RBP-1(0.35)% | RBR-1(0.35)% | 
        VBTF	  286	0.35%	  203	70.98% Misclassified as: VBW-27(9.44)% | VBOF-15(5.24)% | NNC-11(3.85)% | JJD-7(2.45)% | VBTR-7(2.45)% | RBD-5(1.75)% | VBAF-3(1.05)% | VBTF_VBAF-3(1.05)% | VBTS-2(0.70)% | NNP-1(0.35)% | VBOB-1(0.35)% | VBTR_VBAF-1(0.35)% | 
        JJCC	  277	0.34%	  268	96.75% Misclassified as: JJC-5(1.81)% | JJD-3(1.08)% | VBW-1(0.36)% | 
         RBD	  277	0.34%	   86	31.05% Misclassified as: JJD-81(29.24)% | VBTS-27(9.75)% | RBW-19(6.86)% | VBTR-14(5.05)% | NNC-11(3.97)% | VBW-9(3.25)% | VBOF-7(2.53)% | CCP-4(1.44)% | VBTF-4(1.44)% | CCB-3(1.08)% | PRI-2(0.72)% | RBD_CCP-2(0.72)% | VBAF-2(0.72)% | JJD_CCP-1(0.36)% | RBL-1(0.36)% | RBN-1(0.36)% | VBTR_CCP-1(0.36)% | VBTR_VBAF-1(0.36)% | VBTS_CCP-1(0.36)% | 
   VBTR_VBAF	  239	0.29%	  221	92.47% Misclassified as: VBTR-12(5.02)% | VBAF-5(2.09)% | VBTR_VBAF_CCP-1(0.42)% | 
         CCR	  231	0.28%	  220	95.24% Misclassified as: RBK-9(3.90)% | JJD_CCP-1(0.43)% | RBP-1(0.43)% | 
         RBK	  212	0.26%	  184	86.79% Misclassified as: CCR-28(13.21)% | 
     RBD_CCP	  210	0.26%	  108	51.43% Misclassified as: JJD_CCP-54(25.71)% | VBTS_CCP-13(6.19)% | VBTR_CCP-9(4.29)% | RBW_CCP-8(3.81)% | NNC_CCP-5(2.38)% | VBOF_CCP-4(1.90)% | JJCS_CCP-3(1.43)% | JJD-2(0.95)% | VBW_CCP-2(0.95)% | NNP_CCP-1(0.48)% | RBD-1(0.48)% | 
         JJN	  189	0.23%	  163	86.24% Misclassified as: CDB-14(7.41)% | NNC-4(2.12)% | PRI-4(2.12)% | FW-1(0.53)% | JJD-1(0.53)% | JJD_CCP-1(0.53)% | JJN_CCP-1(0.53)% | 
         VBS	  189	0.23%	  176	93.12% Misclassified as: NNC-7(3.70)% | CCR-1(0.53)% | JJD-1(0.53)% | RBD_CCP-1(0.53)% | RBT-1(0.53)% | VBOF-1(0.53)% | VBTS-1(0.53)% | 
         CCU	  188	0.23%	  177	94.15% Misclassified as: RBL-6(3.19)% | RBR-3(1.60)% | NNC-1(0.53)% | RBK-1(0.53)% | 
         RBQ	  181	0.22%	  178	98.34% Misclassified as: NNC-1(0.55)% | PRQ-1(0.55)% | RBF-1(0.55)% | 
     RBI_CCP	  165	0.20%	  160	96.97% Misclassified as: RBM-4(2.42)% | RBI-1(0.61)% | 
     NNP_CCP	  155	0.19%	  142	91.61% Misclassified as: NNP-6(3.87)% | JJD_CCP-4(2.58)% | JJN_CCP-2(1.29)% | NNC_CCP-1(0.65)% | 
         RBR	  149	0.18%	  145	97.32% Misclassified as: RBL-2(1.34)% | JJD-1(0.67)% | NNC-1(0.67)% | 
         RBM	  141	0.17%	  123	87.23% Misclassified as: VBS_CCP-7(4.96)% | VBS-4(2.84)% | CCT-3(2.13)% | RBW-2(1.42)% | RBD-1(0.71)% | VBTS_CCP-1(0.71)% | 
         PRP	  140	0.17%	  139	99.29% Misclassified as: NNC-1(0.71)% | 
    VBTR_CCP	  125	0.15%	   94	75.20% Misclassified as: JJD_CCP-8(6.40)% | VBTS_CCP-8(6.40)% | RBD_CCP-6(4.80)% | VBTR-6(4.80)% | VBTR_VBAF_CCP-2(1.60)% | NNC_CCP-1(0.80)% | 
    JJCS_JJD	  121	0.15%	  114	94.21% Misclassified as: JJCS_JJD_CCP-3(2.48)% | VBTS-2(1.65)% | JJCS_JJN-1(0.83)% | VBOF-1(0.83)% | 
JJCS_JJD_CCP	  110	0.13%	  101	91.82% Misclassified as: JJCS_JJD-2(1.82)% | JJCS_JJN_CCP-2(1.82)% | JJD_CCP-2(1.82)% | JJCS_CCP-1(0.91)% | PRI_CCP-1(0.91)% | VBTS_CCP-1(0.91)% | 
         RBP	  104	0.13%	  102	98.08% Misclassified as: CCR-1(0.96)% | RBR-1(0.96)% | 
        NNCA	  101	0.12%	   86	85.15% Misclassified as: FW-6(5.94)% | NNC-5(4.95)% | CCT-1(0.99)% | JJD-1(0.99)% | NNP-1(0.99)% | NNPA-1(0.99)% | 
     PRQ_CCP	  100	0.12%	   95	95.00% Misclassified as: PRI_CCP-2(2.00)% | JJD_CCP-1(1.00)% | NNC_CCP-1(1.00)% | RBQ_CCP-1(1.00)% | 
        PMSC	   97	0.12%	   97	100.00% Misclassified as: 
     VBH_CCP	   97	0.12%	   95	97.94% Misclassified as: JJD_CCP-1(1.03)% | VBH-1(1.03)% | 
    VBTS_CCP	   93	0.11%	   53	56.99% Misclassified as: VBTR_CCP-15(16.13)% | VBTS-7(7.53)% | VBOF_CCP-6(6.45)% | RBD_CCP-5(5.38)% | JJD_CCP-3(3.23)% | NNC_CCP-1(1.08)% | PRI_CCP-1(1.08)% | RBT_CCP-1(1.08)% | RBW_CCP-1(1.08)% | 
     PRS_CCP	   87	0.11%	   86	98.85% Misclassified as: PRSP_CCP-1(1.15)% | 
     VBN_CCP	   81	0.10%	   76	93.83% Misclassified as: JJD_CCP-2(2.47)% | JJN_CCP-1(1.23)% | RBF-1(1.23)% | RBF_CCP-1(1.23)% | 
   VBTS_VBOF	   79	0.10%	    3	3.80% Misclassified as: VBTS-41(51.90)% | VBOF-25(31.65)% | VBAF-2(2.53)% | VBTR-2(2.53)% | JJCS_JJD-1(1.27)% | JJD-1(1.27)% | JJD_CCP-1(1.27)% | NNC-1(1.27)% | VBTR_CCP-1(1.27)% | VBTS_CCP-1(1.27)% | 
         PRL	   78	0.10%	   78	100.00% Misclassified as: 
     PRO_CCP	   73	0.09%	   69	94.52% Misclassified as: PRO-2(2.74)% | NNC_CCP-1(1.37)% | PRC_CCP-1(1.37)% | 
     JJC_CCP	   68	0.08%	   66	97.06% Misclassified as: JJD_CCP-1(1.47)% | NNP_CCP-1(1.47)% | 
         PRQ	   56	0.07%	   50	89.29% Misclassified as: CCB-1(1.79)% | JJD-1(1.79)% | PRC-1(1.79)% | PRI-1(1.79)% | PRO-1(1.79)% | RBQ-1(1.79)% | 
        DTPP	   54	0.07%	   53	98.15% Misclassified as: NNC-1(1.85)% | 
        VBRF	   54	0.07%	   43	79.63% Misclassified as: VBTR_VBRF-10(18.52)% | VBTS-1(1.85)% | 
     RBT_CCP	   47	0.06%	   30	63.83% Misclassified as: JJD_CCP-12(25.53)% | RBM-3(6.38)% | RBT-2(4.26)% | 
     VBS_CCP	   46	0.06%	   13	28.26% Misclassified as: RBM-32(69.57)% | RBT_CCP-1(2.17)% | 
     PRP_CCP	   44	0.05%	   44	100.00% Misclassified as: 
     RBL_CCP	   43	0.05%	   42	97.67% Misclassified as: NNC_CCP-1(2.33)% | 
        JJCS	   38	0.05%	   29	76.32% Misclassified as: JJCS_JJD-2(5.26)% | JJD-2(5.26)% | JJCC-1(2.63)% | JJCS_CCP-1(2.63)% | JJCS_JJD_CCP-1(2.63)% | RBD-1(2.63)% | VBTS-1(2.63)% | 
         RBT	   37	0.05%	   31	83.78% Misclassified as: JJD-3(8.11)% | RBD-1(2.70)% | RBM-1(2.70)% | VBS-1(2.70)% | 
   VBTR_VBOF	   37	0.05%	    2	5.41% Misclassified as: VBTR-32(86.49)% | VBTS-2(5.41)% | VBTR_CCP-1(2.70)% | 
        PRSP	   35	0.04%	   33	94.29% Misclassified as: NNC-2(5.71)% | 
    VBOF_CCP	   30	0.04%	   16	53.33% Misclassified as: VBTS_CCP-6(20.00)% | NNC_CCP-3(10.00)% | JJCS_JJD_CCP-1(3.33)% | RBW_CCP-1(3.33)% | VBOF-1(3.33)% | VBTR_CCP-1(3.33)% | VBTS-1(3.33)% | 
   VBTS_VBAF	   30	0.04%	    1	3.33% Misclassified as: VBAF-29(96.67)% | 
   VBTR_VBRF	   28	0.03%	   21	75.00% Misclassified as: VBRF-6(21.43)% | VBTR-1(3.57)% | 
     VBW_CCP	   25	0.03%	    5	20.00% Misclassified as: JJD_CCP-8(32.00)% | RBD_CCP-5(20.00)% | NNC_CCP-4(16.00)% | NNC-1(4.00)% | VBAF_CCP-1(4.00)% | VBH_CCP-1(4.00)% | 
    JJCS_CCP	   22	0.03%	   18	81.82% Misclassified as: RBD_CCP-3(13.64)% | JJCS_JJD_CCP-1(4.55)% | 
         PRC	   22	0.03%	   17	77.27% Misclassified as: CCB-5(22.73)% | 
         VBN	   22	0.03%	   21	95.45% Misclassified as: VBN_CCP-1(4.55)% | 
     PRC_CCP	   21	0.03%	   20	95.24% Misclassified as: PRO_CCP-1(4.76)% | 
     RBL_NNP	   20	0.02%	   18	90.00% Misclassified as: NNPA-1(5.00)% | RBL-1(5.00)% | 
      PRO_LM	   16	0.02%	   16	100.00% Misclassified as: 
         RBN	   14	0.02%	    1	7.14% Misclassified as: JJD-6(42.86)% | RBD-3(21.43)% | RBW-2(14.29)% | CCB-1(7.14)% | RBL-1(7.14)% | 
    VBRF_CCP	   11	0.01%	    9	81.82% Misclassified as: NNP_CCP-1(9.09)% | VBTR_VBRF_CCP-1(9.09)% | 
