	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
        VBOF	  795	0.97%	  555	69.81% Misclassified as: VBTS-192(24.15)% | NNC-14(1.76)% | VBTR-9(1.13)% | RBD-6(0.75)% | VBOF_CCP-4(0.50)% | VBTF-4(0.50)% | VBTS_VBOF-3(0.38)% | FW-1(0.13)% | JJCS_JJD-1(0.13)% | JJD-1(0.13)% | NNP-1(0.13)% | VBAF-1(0.13)% | VBTF_VBOF-1(0.13)% | VBTR_VBOF-1(0.13)% | VBW-1(0.13)% | 
         PRO	  734	0.90%	  732	99.73% Misclassified as: FW-2(0.27)% | 
         RBW	  723	0.89%	  624	86.31% Misclassified as: VBW-43(5.95)% | JJD-16(2.21)% | RBD-12(1.66)% | RBL-11(1.52)% | NNC-6(0.83)% | RBW_CCP-5(0.69)% | CCB-4(0.55)% | CCT-1(0.14)% | VBTS-1(0.14)% | 
         RBL	  643	0.79%	  602	93.62% Misclassified as: RBW-23(3.58)% | RBL_NNP-4(0.62)% | RBR-3(0.47)% | CCT-2(0.31)% | CCU-2(0.31)% | JJD-2(0.31)% | NNC-1(0.16)% | RBL_CCP-1(0.16)% | VBH-1(0.16)% | VBTR-1(0.16)% | VBTS-1(0.16)% | 
     RBW_CCP	  637	0.78%	  619	97.17% Misclassified as: JJD_CCP-8(1.26)% | RBD_CCP-4(0.63)% | RBW-3(0.47)% | VBTS_CCP-2(0.31)% | CCB-1(0.16)% | 
         PRI	  569	0.70%	  560	98.42% Misclassified as: NNC-4(0.70)% | CCT-2(0.35)% | PRQ-2(0.35)% | JJD-1(0.18)% | 
        VBAF	  494	0.61%	  459	92.91% Misclassified as: VBW-22(4.45)% | FW-2(0.40)% | NNC-2(0.40)% | NNP-2(0.40)% | RBD-2(0.40)% | VBTR_VBAF-2(0.40)% | RBD_CCP-1(0.20)% | VBOF-1(0.20)% | VBTR-1(0.20)% | 
        NNPA	  467	0.57%	  448	95.93% Misclassified as: NNP-19(4.07)% | 
    PRSP_CCP	  467	0.57%	  467	100.00% Misclassified as: 
         RBF	  428	0.52%	  416	97.20% Misclassified as: VBN_CCP-7(1.64)% | NNC-2(0.47)% | JJD-1(0.23)% | VBN-1(0.23)% | VBS-1(0.23)% | 
         VBH	  407	0.50%	  406	99.75% Misclassified as: FW-1(0.25)% | 
     JJN_CCP	  395	0.48%	  367	92.91% Misclassified as: PRI_CCP-15(3.80)% | JJD_CCP-4(1.01)% | NNC_CCP-4(1.01)% | NNP_CCP-3(0.76)% | CDB_CCP-1(0.25)% | JJD-1(0.25)% | 
         PRS	  348	0.43%	  347	99.71% Misclassified as: RBT-1(0.29)% | 
        VBTF	  293	0.36%	  219	74.74% Misclassified as: VBW-22(7.51)% | VBOF-20(6.83)% | VBTR-6(2.05)% | JJD-5(1.71)% | NNC-5(1.71)% | VBTF_VBAF-5(1.71)% | FW-2(0.68)% | RBD-2(0.68)% | VBTR_VBOF-2(0.68)% | VBTS-2(0.68)% | NNP-1(0.34)% | VBAF-1(0.34)% | VBTR_VBAF-1(0.34)% | 
         JJC	  289	0.35%	  279	96.54% Misclassified as: JJCC-4(1.38)% | NNC-2(0.69)% | JJD-1(0.35)% | VBAF-1(0.35)% | VBTR_VBAF-1(0.35)% | VBW-1(0.35)% | 
