	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
     NNC_CCP	  964	1.18%	  871	90.35% Misclassified as: JJD_CCP-73(7.57)% | NNC-6(0.62)% | RBD_CCP-3(0.31)% | FW-2(0.21)% | JJN_CCP-2(0.21)% | CCB-1(0.10)% | JJN-1(0.10)% | PRI_CCP-1(0.10)% | VBOF_CCP-1(0.10)% | VBTR_CCP-1(0.10)% | VBTS_CCP-1(0.10)% | VBW_CCP-1(0.10)% | 
         DTP	  927	1.14%	  927	100.00% Misclassified as: 
         RBI	  820	1.00%	  746	90.98% Misclassified as: CCP-70(8.54)% | CCT-2(0.24)% | JJD_CCP-1(0.12)% | NNC-1(0.12)% | 
         PRO	  738	0.90%	  731	99.05% Misclassified as: PRL-4(0.54)% | FW-2(0.27)% | PRO_LM-1(0.14)% | 
         RBW	  696	0.85%	  601	86.35% Misclassified as: VBW-26(3.74)% | JJD-14(2.01)% | RBD-13(1.87)% | RBL-13(1.87)% | NNC-11(1.58)% | RBW_CCP-8(1.15)% | CCB-5(0.72)% | VBOF-3(0.43)% | RBW_CCA-1(0.14)% | VBTS-1(0.14)% | 
        VBOF	  675	0.83%	  470	69.63% Misclassified as: VBTS-135(20.00)% | NNC-19(2.81)% | VBTR-9(1.33)% | RBD-8(1.19)% | VBTF-7(1.04)% | VBTS_VBOF-5(0.74)% | JJD-4(0.59)% | VBW-4(0.59)% | VBOF_CCP-3(0.44)% | NNP-2(0.30)% | FW-1(0.15)% | JJCS_JJD-1(0.15)% | RBQ-1(0.15)% | RBW-1(0.15)% | VBAF-1(0.15)% | VBOB-1(0.15)% | VBRF_CCP-1(0.15)% | VBTF_VBOF-1(0.15)% | VBTR_VBOF-1(0.15)% | 
         RBL	  666	0.82%	  604	90.69% Misclassified as: RBW-21(3.15)% | CCT-17(2.55)% | RBL_CCP-5(0.75)% | CCU-4(0.60)% | RBL_NNP-4(0.60)% | NNC-3(0.45)% | JJD-2(0.30)% | PRL-1(0.15)% | RBD-1(0.15)% | VBH-1(0.15)% | VBTR-1(0.15)% | VBTS-1(0.15)% | VBW-1(0.15)% | 
     RBW_CCP	  636	0.78%	  612	96.23% Misclassified as: JJD_CCP-9(1.42)% | RBD_CCP-7(1.10)% | RBW-3(0.47)% | NNC_CCP-2(0.31)% | CCB-1(0.16)% | NNC-1(0.16)% | VBTS_CCP-1(0.16)% | 
         PRI	  579	0.71%	  559	96.55% Misclassified as: JJD-7(1.21)% | PRQ-7(1.21)% | NNC-4(0.69)% | CCT-1(0.17)% | RBD-1(0.17)% | 
        VBAF	  525	0.64%	  473	90.10% Misclassified as: VBW-28(5.33)% | VBTR_VBAF-6(1.14)% | NNC-4(0.76)% | VBTS_VBAF-4(0.76)% | NNP_CCP-2(0.38)% | RBD-2(0.38)% | FW-1(0.19)% | JJD-1(0.19)% | NNP-1(0.19)% | VBOF-1(0.19)% | VBTF-1(0.19)% | VBTF_VBAF-1(0.19)% | 
        NNPA	  468	0.57%	  449	95.94% Misclassified as: NNP-18(3.85)% | CDB-1(0.21)% | 
    PRSP_CCP	  466	0.57%	  466	100.00% Misclassified as: 
         RBF	  431	0.53%	  420	97.45% Misclassified as: VBN_CCP-4(0.93)% | VBN-3(0.70)% | JJCN-1(0.23)% | JJD-1(0.23)% | NNC-1(0.23)% | VBS-1(0.23)% | 
         VBH	  409	0.50%	  405	99.02% Misclassified as: VBAF-2(0.49)% | VBTF-1(0.24)% | VBW-1(0.24)% | 
     JJN_CCP	  398	0.49%	  361	90.70% Misclassified as: PRI_CCP-24(6.03)% | JJD_CCP-4(1.01)% | NNC_CCP-4(1.01)% | JJN-2(0.50)% | NNC-1(0.25)% | NNP_CCP-1(0.25)% | VBAF-1(0.25)% | 
         PRS	  349	0.43%	  347	99.43% Misclassified as: NNCA-1(0.29)% | PRSP-1(0.29)% | 
         JJC	  301	0.37%	  282	93.69% Misclassified as: JJCC-9(2.99)% | JJD-6(1.99)% | NNC-1(0.33)% | RBD-1(0.33)% | VBAF-1(0.33)% | VBW-1(0.33)% | 
         RBB	  286	0.35%	  284	99.30% Misclassified as: RBP-1(0.35)% | RBR-1(0.35)% | 
        VBTF	  286	0.35%	  204	71.33% Misclassified as: VBW-27(9.44)% | VBOF-15(5.24)% | NNC-13(4.55)% | JJD-6(2.10)% | VBTR-5(1.75)% | RBD-4(1.40)% | VBAF-4(1.40)% | VBTF_VBAF-3(1.05)% | VBTS-2(0.70)% | NNP-1(0.35)% | VBOB-1(0.35)% | VBTR_VBAF-1(0.35)% | 
        JJCC	  277	0.34%	  270	97.47% Misclassified as: JJC-4(1.44)% | JJD-2(0.72)% | VBW-1(0.36)% | 
         RBD	  277	0.34%	   85	30.69% Misclassified as: JJD-81(29.24)% | VBTS-27(9.75)% | RBW-20(7.22)% | VBTR-14(5.05)% | NNC-11(3.97)% | VBW-9(3.25)% | VBOF-7(2.53)% | CCP-4(1.44)% | VBTF-4(1.44)% | CCB-3(1.08)% | PRI-2(0.72)% | RBD_CCP-2(0.72)% | VBAF-2(0.72)% | FW-1(0.36)% | JJD_CCP-1(0.36)% | RBL-1(0.36)% | VBTR_CCP-1(0.36)% | VBTR_VBAF-1(0.36)% | VBTS_CCP-1(0.36)% | 
   VBTR_VBAF	  239	0.29%	  218	91.21% Misclassified as: VBTR-13(5.44)% | VBAF-6(2.51)% | VBTR_CCP-1(0.42)% | VBTR_VBAF_CCP-1(0.42)% | 
         CCR	  231	0.28%	  220	95.24% Misclassified as: RBK-9(3.90)% | JJD_CCP-1(0.43)% | RBP-1(0.43)% | 
         RBK	  212	0.26%	  186	87.74% Misclassified as: CCR-26(12.26)% | 
