	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
G:PMSC P:PMS ; 1719 26 		Context - Estados|NNP Unidos|NNP *;|PMS* ang|DTC pangalan|NNC 
G:PRC P:CCB Gayon 5093 0 		Context - *Gayon|CCB* ,|PMC isang|PRI_CCP 
G:PRC P:CCB Gayon 716 0 		Context - *Gayon|CCB* pa|RBI man|RBI 
G:PRC P:CCB Gayun 2776 0 		Context - *Gayun|CCB* pa|RBI man|RBI 
G:PRI P:FW bawa’t 1432 15 		Context - malapit|JJD sa|CCT *bawa’t|FW* base|NNC at|CCA 
G:PRI P:FW bawa’t 2050 17 		Context - malapit|JJD sa|CCT *bawa’t|FW* base|FW .|PMP 
G:PRI P:FW bawa’t 3802 9 		Context - paninda|NNC sa|CCT *bawa’t|FW* distrito|NNC ,|PMC 
G:PRI P:JJD bawa’t 318 23 		Context - sasabihin|VBTF_VBOF kung|CCR *bawa’t|JJD* bato|NNC ay|LM 
G:PRI P:JJD buo 5372 18 		Context - ,|PMC mas|JJCC *buo|JJD* ,|PMC mas|JJCC 
G:PRI P:JJD kalahati 6076 10 		Context - higit|JJCC sa|CCT *kalahati|JJD* ng_mga|DTCP Aucklander|NNP 
G:PRI P:JJD_CCP bawa’t 2050 11 		Context - ginagamit|VBTR sa|CCT *bawa’t|JJD_CCP* laro|NNC ,|PMC 
G:PRI P:NNC uri 5242 54 		Context - mabuti|JJD ang|DTC *uri|NNC* ng|CCB pagkamasunurin|NNC 
G:PRI P:PRI_CCP Isang 5650 0 		Context - *Isang|PRI_CCP* probinsya|NNC ang|DTC 
G:PRI P:PRI_CCP Isang 566 0 		Context - *Isang|PRI_CCP* bagong|JJD_CCP linang|NNC 
G:PRI P:PRI_CCP ilang 3627 6 		Context - (|PMS sa|CCT *ilang|PRI_CCP* mga|DTCP malamig|JJD 
G:PRI P:PRI_CCP isang 2623 1 		Context - Sa|CCT *isang|PRI_CCP* analisis|NNC ng|CCB 
G:PRI P:PRI_CCP isang 3347 35 		Context - halimbawa|NNC ang|DTC *isang|PRI_CCP* curve|NNC ,|PMC 
G:PRI P:PRI_CCP isang 3682 19 		Context - )|PMS at|CCA *isang|PRI_CCP* arkipelago|NNC patungong_silangan|RBL_JJD 
G:PRI P:PRI_CCP isang 4298 29 		Context - kasapi|CCB ng|CCB *isang|PRI_CCP* phased|FW Israeli|NNP 
G:PRI P:PRQ Ilan 1213 0 		Context - *Ilan|PRQ* sa|CCT mga|DTCP 
G:PRI P:PRQ iilan 14 29 		Context - dysfunctions|FW ay|LM *iilan|PRQ* lamang|RBI sa|CCT 
G:PRI P:PRQ ilan 1783 9 		Context - buhay|NNC ng|CCB *ilan|PRQ* sa|CCT mga|DTCP 
G:PRI P:PRQ ilan 1948 19 		Context - pagsusulat|NNC sa|CCT *ilan|PRQ* sa|CCT kanyang|PRSP_CCP 
G:PRI P:PRQ ilan 2558 5 		Context - dibisyon|NNC ang|DTC *ilan|PRQ* sa|CCT mga|DTCP 
G:PRI P:PRQ ilan 2757 27 		Context - strikeouts|NNC ang|DTC *ilan|PRQ* sa|CCT mga|DTCP 
G:PRI P:PRQ ilan 4059 58 		Context - tungkol_dito|RBR sa|CCT *ilan|PRQ* sa|CCT mga|DTCP 
G:PRI P:VBS Maaari 2065 0 		Context - *Maaari|VBS* ring|RBI_CCP magkaroon|VBW 
G:PRI_CCB P:PRI_CCP Isang 909 0 		Context - *Isang|PRI_CCP* kapanahunan|NNC ang|DTC 
G:PRI_CCB P:PRI_CCP buong 4168 24 		Context - atensyon|NNC ng|CCB *buong|PRI_CCP* mundo|NNC sa|CCT 
G:PRI_CCB P:PRI_CCP ibang 595 37 		Context - at|CCA sa|CCT *ibang|PRI_CCP* bansa|NNC .|PMP 
G:PRI_CCB P:PRI_CCP ibang 65 20 		Context - estado|NNC sa|CCT *ibang|PRI_CCP* estadong|NNC_CCP Indian|NNP 
G:PRI_CCB P:PRI_CCP isang 158 31 		Context - nila|PRP ng|CCB *isang|PRI_CCP* napapanahong|JJD_CCP palo|NNC 
G:PRI_CCB P:PRI_CCP isang 2189 2 		Context - Nakilala|VBTS bilang|CCT *isang|PRI_CCP* indibidwalista|JJD sa|CCT 
G:PRI_CCB P:PRI_CCP isang 2316 73 		Context - Buckley|NNP ,|PMC *isang|PRI_CCP* awtor|NNC ,|PMC 
G:PRI_CCB P:PRI_CCP isang 2551 12 		Context - Grant|NNP sa|CCT *isang|PRI_CCP* one|FW man|FW 
G:PRI_CCB P:PRQ_CCP ilang 198 2 		Context - Sa_loob|RBL ng|CCB *ilang|PRQ_CCP* dekada|NNC ,|PMC 
G:PRI_CCP P:JJD_CCP iba't_ibang 3531 54 		Context - asin|NNC at|CCA *iba't_ibang|JJD_CCP* mga|DTCP hot|FW 
G:PRI_CCP P:JJD_CCP iba't_ibang 3646 11 		Context - mitolohiya|NNC sa|CCT *iba't_ibang|JJD_CCP* mga|DTCP kuwento|NNC 
G:PRI_CCP P:JJD_CCP iba't_ibang 4065 14 		Context - makihalubilo|VBW ang|DTC *iba't_ibang|JJD_CCP* mga|DTCP etnikong|NNC 
G:PRI_CCP P:JJD_CCP ibang 2383 10 		Context - ito|PRO sa|CCT *ibang|JJD_CCP* lugar|NNC sa|CCT 
G:PRI_CCP P:JJD_CCP ibang 6185 20 		Context - opisina|NNC sa|CCT *ibang|JJD_CCP* parte|NNC ng|CCB 
G:PRI_CCP P:JJD_CCP iba’t_ibang 403 5 		Context - nakapagtapos|VBTS ng|CCB *iba’t_ibang|JJD_CCP* bagay|NNC si|DTP 
G:PRI_CCP P:JJD_CCP iba’t_ibang 4399 13 		Context - tumutugtog|VBTR_VBAF ng|CCB *iba’t_ibang|JJD_CCP* mga|DTCP kategorya|NNC 
G:PRI_CCP P:JJD_CCP kaunting 682 13 		Context - ay|LM may|VBH *kaunting|JJD_CCP* genes|FW at|CCA 
G:PRI_CCP P:JJD_CCP madaming 5936 6 		Context - din|RBI ng|CCB *madaming|JJD_CCP* mga|DTCP magagaling|JJD 
G:PRI_CCP P:JJD_CCP malaking 2762 26 		Context - rin|RBI sa|CCT *malaking|JJD_CCP* konteksto|NNC ng|CCB 
G:PRI_CCP P:JJD_CCP maramihang 3904 1 		Context - Dahil_sa|RBP *maramihang|JJD_CCP* kalabisan|NNC sa|CCT 
G:PRI_CCP P:JJD_CCP maraming 3124 5 		Context - binubuo|VBTR ng|CCB *maraming|JJD_CCP* uri|NNC ng|CCB 
G:PRI_CCP P:JJD_CCP maraming 3721 6 		Context - siglo|NNC ,|PMC *maraming|JJD_CCP* uri|NNC ng|CCB 
G:PRI_CCP P:JJD_CCP maraming 4968 25 		Context - tinatakpan|VBTR ang|DTC *maraming|JJD_CCP* mga|DTCP aspeto|NNC 
G:PRI_CCP P:JJD_CCP maraming 6139 7 		Context - nakakalason|VBTR sa|CCT *maraming|JJD_CCP* hayop|NNC .|PMP 
G:PRI_CCP P:JJD_CCP maraming 673 7 		Context - siglo|NNC ,|PMC *maraming|JJD_CCP* pagbabago|NNC ang|DTC 
G:PRI_CCP P:JJN_CCP isang 1031 5 		Context - higit|JJC sa|CCT *isang|JJN_CCP* daang|NNC_CCP mga|DTCP 
G:PRI_CCP P:JJN_CCP isang 3106 16 		Context - sa_loob|RBL ng|CCB *isang|JJN_CCP* taon|NNC hangang|RBW 
G:PRI_CCP P:JJN_CCP isang 3229 3 		Context - Sa_loob|RBL ng|CCB *isang|JJN_CCP* buong|PRI_CCP henerasyon|NNC 
G:PRI_CCP P:NNC_CCP iba’t_ibang 4307 2 		Context - Itinatag|VBTS ang|DTC *iba’t_ibang|NNC_CCP* Damien|NNP Centers|NNP 
G:PRI_CCP P:PRI isa 1964 7 		Context - makipag-isa|VBW sa|CCT *isa|PRI* pang|RBI_CCP gamete|NNC 
G:PRI_CCP P:PRI isa 3293 1 		Context - Sa|CCT *isa|PRI* pang|RBI_CCP naiibang|VBTR_CCP 
G:PRI_CCP P:PRI_CCB isang 1679 36 		Context - Washington|NNP bilang|CCT *isang|PRI_CCB* lihim|JJD na|CCP 
G:PRI_CCP P:PRQ_CCP ilang 2054 17 		Context - pagkikilala|NNC ng|CCB *ilang|PRQ_CCP* mga|DTCP isport|NNC 
G:PRI_CCP P:PRQ_CCP ilang 2551 17 		Context - show|FW sa|CCT *ilang|PRQ_CCP* mga|DTCP paglalakbay|NNC 
G:PRI_CCP P:PRQ_CCP ilang 2750 67 		Context - paglalaro|NNC ng|CCB *ilang|PRQ_CCP* palakaibigang|JJD_CCP larong|NNC_CCP 
G:PRI_CCP P:PRQ_CCP ilang 2767 47 		Context - na|CCP may|VBH *ilang|PRQ_CCP* mga|DTCP pasubali|NNC 
G:PRI_CCP P:PRQ_CCP ilang 2806 27 		Context - batay|NNC sa|CCT *ilang|PRQ_CCP* mga|DTCP kumbinasyon|NNC 
G:PRI_CCP P:PRQ_CCP ilang 2884 2 		Context - Kasama|CCB ng|CCB *ilang|PRQ_CCP* mga|DTCP marangyang|JJD_CCP 
G:PRI_CCP P:PRQ_CCP ilang 3205 3 		Context - sumunod|VBAF na|CCP *ilang|PRQ_CCP* mga|DTCP siglo|NNC 
G:PRI_CCP P:PRQ_CCP ilang 3315 18 		Context - suweldo|NNC sa|CCT *ilang|PRQ_CCP* mga|DTCP pelikula|NNC 
G:PRI_CCP P:PRQ_CCP ilang 3939 1 		Context - Sa|CCT *ilang|PRQ_CCP* mga|DTCP estado|NNC 
G:PRI_CCP P:PRQ_CCP ilang 4059 19 		Context - sa_loob|RBL ng|CCB *ilang|PRQ_CCP* oras|NNC ,|PMC 
G:PRI_CCP P:PRQ_CCP ilang 4541 1 		Context - Sa|CCT *ilang|PRQ_CCP* mga|DTCP halimbawa|NNC 
G:PRI_CCP P:PRQ_CCP ilang 4745 9 		Context - kasama|CCB ang|DTC *ilang|PRQ_CCP* daang|NNC_CCP kolonya|NNC 
G:PRI_CCP P:PRQ_CCP ilang 557 1 		Context - Ang|DTC *ilang|PRQ_CCP* mga|DTCP liga|NNC 
G:PRI_CCP P:PRQ_CCP ilang 99 21 		Context - pagtubog|NNC sa|CCT *ilang|PRQ_CCP* mga|DTCP pigura|NNC 
G:PRI_CCP P:VBOF isa’t_isa 1589 6 		Context - plates|FW sa|CCT *isa’t_isa|VBOF* ay|LM nagpapataas|VBTR 
G:PRI_CCP P:VBTR_CCP iba’t_ibang 1906 3 		Context - siya|PRS sa|CCT *iba’t_ibang|VBTR_CCP* mga|DTCP parokya|NNC 
G:PRI_CCT P:PRI_CCP isang 5770 16 		Context - nakita|VBTS sa|CCT *isang|PRI_CCP* frame|FW ng_mga|DTCP 
G:PRO P:PRC ganoon 468 21 		Context - bihirang|JJD_CCP may|VBH *ganoon|PRC* ang_mga|DTCP publisher|NNC 
G:PRO P:PRI Isa 6466 0 		Context - *Isa|PRI* ito|PRO sa|CCT 
G:PRO_CCB P:PRO_CCP itong 1029 1 		Context - Tinawag|VBOF *itong|PRO_CCP* “|NNCA A_Conversation_with_Cary_Grant|NNP 
G:PRO_LM P:VBOF ito’y 1333 1 		Context - Kadalasan|RBW *ito’y|VBOF* sinasabing|VBTR_CCP pangalawang|JJN_CCP 
G:PRO_LM P:VBOF ito’y 2317 18 		Context - kung|RBK saan|RBQ *ito’y|VBOF* nakaabot|VBTS ng|CCB 
G:PRO_LM P:VBOF ito’y 321 29 		Context - ,|PMC ngunit|CCT *ito’y|VBOF* isang|PRI_CCP modernong|JJD_CCP 
G:PRO_LM P:VBOF ito’y 399 12 		Context - ,|PMC kapag|CCR *ito’y|VBOF* kasalukuyang|RBW_CCP makikita|VBTF 
G:PRO_LM P:VBOF ito’y 4381 2 		Context - Kahit|CCT na|CCP *ito’y|VBOF* unang|JJN_CCP napabilang|VBTS 
G:PRO_LM P:VBOF ito’y 5175 27 		Context - kung|RBK saan|RBQ *ito’y|VBOF* makabuluhang|RBD_CCP bawasan|VBOF 
G:PRO_LM P:VBOF ito’y 5392 11 		Context - ,|PMC at|CCA *ito’y|VBOF* pinangalang|VBOF_CCP Comet|NNP 
G:PRO_LM P:VBOF ito’y 95 24 		Context - balbas|NNC para|CCT *ito’y|VBOF* matakpan|VBW ,|PMC 
G:PRO_LM P:VBTF_VBOF ito’y 3027 19 		Context - mula|RBW ng|CCB *ito’y|VBTF_VBOF* mabuksan|VBW ,|PMC 
G:PRO_LM P:VBTS_VBOF ito’y 3535 3 		Context - hindi|RBF man|RBI *ito’y|VBTS_VBOF* napapalibutan|VBTR ng|CCB 
G:PRP P:PRS siya 3677 6 		Context - kaibahan|NNC na|CCP *siya|PRS* ang|DTC lungsod|NNC 
G:PRP_CCP P:PRI_CCP ilang 4465 30 		Context - ginawa|VBOF ng|CCB *ilang|PRI_CCP* mga|DTCP apliksyon|NNC 
G:PRQ P:PRI ilan 3513 13 		Context - gerner|FW ay|LM *ilan|PRI* lamang|RBI sa|CCT 
G:PRQ P:RBQ bakit 5281 5 		Context - dahilan|NNC kung|RBK *bakit|RBQ* inakala|VBOF ni|DTP 
G:PRQ P:RBQ kailan 5075 49 		Context - ‿|FW kung|RBK *kailan|RBQ* oras|NNC na|RBI 
G:PRQ_CCP P:PRI_CCP Ilang 3730 0 		Context - *Ilang|PRI_CCP* mga|DTCP palabas|NNC 
G:PRQ_CCP P:PRI_CCP ilang 1110 11 		Context - Pretoria|NNP sa|CCT *ilang|PRI_CCP* mga|DTCP itim|JJD 
G:PRQ_CCP P:PRI_CCP ilang 1443 3 		Context - siya|PRS ng|CCB *ilang|PRI_CCP* mga|DTCP paraan|NNC 
G:PRQ_CCP P:PRI_CCP ilang 2148 43 		Context - tubig|NNC ng|CCB *ilang|PRI_CCP* minuto|NNC (|PMS 
G:PRQ_CCP P:PRI_CCP ilang 5514 32 		Context - nagbigay|VBTS ng|CCB *ilang|PRI_CCP* mga|DTCP imahe|NNC 
G:PRS P:PRI Isa 3167 0 		Context - *Isa|PRI* siyang|PRS_CCP aktibong|JJD_CCP 
G:PRS P:PRP Sila 3477 0 		Context - *Sila|PRP* ay|LM nakakaranas|RBD 
G:PRSP P:NNC industriya 1242 50 		Context - artista|NNC sa|CCT *industriya|NNC* ng|CCB pabango|NNC 
G:PRSP P:PRSP_CCP kanilang 3863 16 		Context - tubig|NNC sa|CCT *kanilang|PRSP_CCP* bunganga|NNC .|PMP 
G:PRSP P:PRSP_CCP kanyang 282 11 		Context - ,|PMC ang|DTC *kanyang|PRSP_CCP* debosyon|NNC sa|CCT 
G:PRSP P:PRSP_CCP kanyang 5674 19 		Context - backdrop|FW ng|CCB *kanyang|PRSP_CCP* mga|DTCP konsyerto|NNC 
G:PRSP_CCP P:PRSP kanya 4759 28 		Context - nagpadala|VBTS sa|CCT *kanya|PRSP* sa|CCT pagpapatapon|NNC 
G:PRS_CCP P:JJD_CCP punong 1928 8 		Context - na|CCP siyang|PRS_CCP *punong|JJD_CCP* kumpanya|NNC ng|CCB 
G:RBD P:CCB ng 1681 11 		Context - na|CCP nagdadala|VBTR *ng|CCB* tagumpay|NNC na|CCP 
G:RBD P:CCB ng 2152 10 		Context - ,|PMC isinulat|VBTS_VBOF *ng|CCB* isa-isa|RBD ang|DTC 
G:RBD P:CCB ng 2939 10 		Context - ,|PMC tumaas|VBAF *ng|CCB* makabuluhan|JJD mula|RBL 
G:RBD P:CCB ng 592 21 		Context - nabalot|VBTS na|RBI *ng|CCB* kumpleto|JJD ang|DTC 
G:RBD P:CCP na 1217 29 		Context - habang|RBW espesyal|JJD *na|CCP* naaakit|VBTR sa|CCT 
G:RBD P:CCP na 1471 13 		Context - ,|PMC sikat|JJD *na|CCP* sikat|JJD sa|CCT 
G:RBD P:CCP na 2610 10 		Context - ,|PMC partikular|JJD *na|CCP* pinasiyahan|VBTS_VBOF ng|CCB 
G:RBD P:CCP na 3235 22 		Context - na|CCP mahusay|JJD *na|CCP* nakapreserba|VBTS :|PMS 
G:RBD P:CCP na 4190 4 		Context - ay|LM patuloy|RBD *na|CCP* umaandar|VBTR kahit|CCT 
G:RBD P:CCP na 634 5 		Context - ng|CCB propesyonal|JJD *na|CCP* ipinadala|VBTS mula_sa|RBL 
G:RBD P:CCP na 940 44 		Context - ,|PMC mataas|JJD *na|CCP* pahilis|RBD ng|CCB 
G:RBD P:JJCC Medyo 2974 0 		Context - *Medyo|JJCC* malabo|JJD ang|DTC 
G:RBD P:JJCC lubos 883 16 		Context - Manamit|VBW ng|CCB *lubos|JJCC* sa|CCT Kyoto|NNP 
G:RBD P:JJD Patuloy 2085 0 		Context - *Patuloy|JJD* pa|RBI rin|RBI 
G:RBD P:JJD Patuloy 2321 0 		Context - *Patuloy|JJD* pa|RBI rin|RBI 
G:RBD P:JJD Pormal 1504 0 		Context - *Pormal|JJD* na|CCP naging|VBTS 
G:RBD P:JJD espesyal 1217 28 		Context - ,|PMC habang|RBW *espesyal|JJD* na|CCP naaakit|VBTR 
G:RBD P:JJD halos 2211 9 		Context - ,|PMC na|CCP *halos|JJD* nakabalot|JJD ang|DTC 
G:RBD P:JJD halos 2256 6 		Context - pamumuhay|NNC ,|PMC *halos|JJD* na|CCP maikukumpara|VBTF 
G:RBD P:JJD halos 4842 20 		Context - sitwasyon|NNC na|CCP *halos|JJD* boykoteuhin|VBOF ng|CCB 
G:RBD P:JJD halos 498 7 		Context - ipinahayag|VBTS sa|CCT *halos|JJD* ganap|JJD na|CCP 
G:RBD P:JJD hiwalay 841 63 		Context - o|CCT “|FW *hiwalay|JJD* na|CCP namumuhay|VBTR 
G:RBD P:JJD importante 4544 10 		Context - dahon|NNC ,|PMC *importante|JJD* na|CCP malaman|VBW 
G:RBD P:JJD kaakit-akit 1612 14 		Context - nakadispley|VBTS ng|CCB *kaakit-akit|JJD* .|PMP 
G:RBD P:JJD kilala 2424 9 		Context - kultura|NNC ang|DTC *kilala|JJD* na|CCP sinasamba|VBTR 
G:RBD P:JJD kumpleto 592 22 		Context - na|RBI ng|CCB *kumpleto|JJD* ang|DTC photosphere|FW 
G:RBD P:JJD lihim 1679 37 		Context - bilang|CCT isang|PRI_CCB *lihim|JJD* na|CCP kinatawan|NNC 
G:RBD P:JJD maayos 42 44 		Context - dumalo|VBAF ng|CCB *maayos|JJD* sa|CCT bola|NNC 
G:RBD P:JJD mabilis 2672 32 		Context - ,|PMC ngunit|CCT *mabilis|JJD* na|CCP naging|VBTS 
G:RBD P:JJD mabilis 892 19 		Context - ang|DTC mas|JJCC *mabilis|JJD* na|CCP umaasenso|VBTR_VBAF 
G:RBD P:JJD mahirap 4234 21 		Context - na|CCP naging|VBTS *mahirap|JJD* ilantad|VBOF o|CCT 
G:RBD P:JJD mahuhusay 2184 29 		Context - kinakaribal|VBTR ang|DTC *mahuhusay|JJD* na|CCP nabuong|VBTS 
G:RBD P:JJD mahusay 3235 21 		Context - sarili|NNC na|CCP *mahusay|JJD* na|CCP nakapreserba|VBTS 
G:RBD P:JJD mahusay 3301 15 		Context - nililinang|VBTR ng|CCB *mahusay|JJD* na|CCP tagumpay|NNC 
G:RBD P:JJD maikli 3161 22 		Context - tuka|NNC at|CCA *maikli|JJD* na|CCP pabilog|RBD 
G:RBD P:JJD makabuluhan 2939 11 		Context - tumaas|VBAF ng|CCB *makabuluhan|JJD* mula|RBL 25|CDB 
G:RBD P:JJD malabo 2974 1 		Context - Medyo|JJCC *malabo|JJD* ang|DTC ating|PRSP_CCP 
G:RBD P:JJD malakas 4691 1 		Context - Naging|VBTS *malakas|JJD* na|CCP pangangatwiran|NNC 
G:RBD P:JJD malaki 4285 2 		Context - Umaasa|VBTR ng|CCB *malaki|JJD* ang|DTC ekonomiya|NNC 
G:RBD P:JJD malapit 2762 15 		Context - ganoong|PRC_CCB paraan|NNC *malapit|JJD* silang|PRP_CCP maninirahan|VBW 
G:RBD P:JJD malapit 62 6 		Context - naging|VBTS isang|PRI_CCP *malapit|JJD* na|CCP malapit|JJD 
G:RBD P:JJD malapit 6209 4 		Context - Unidos|NNP ,|PMC *malapit|JJD* na|CCP kahawig|JJD 
G:RBD P:JJD malawak 149 12 		Context - Katoliko|NNP at|CCA *malawak|JJD* na|CCP ginagamit|VBTR 
G:RBD P:JJD malaya 1565 8 		Context - ,|PMC naging|VBTS *malaya|JJD* ito|PRO .|PMP 
G:RBD P:JJD malinaw 6197 48 		Context - ito|PRO ay|LM *malinaw|JJD* na|CCP dokumentado|NNC 
G:RBD P:JJD maliwanag 3467 10 		Context - ito|PRO ay|LM *maliwanag|JJD* na|CCP lumaki|VBAF 
G:RBD P:JJD mataas 940 43 		Context - takipmata|NNC ,|PMC *mataas|JJD* na|CCP pahilis|RBD 
G:RBD P:JJD matagal 3531 62 		Context - at|CCA ang|DTC *matagal|JJD* nang|RBD naitaguyod|VBTS 
G:RBD P:JJD matagal 4068 27 		Context - rin|RBI ng|CCB *matagal|JJD* na|CCP gampanin|NNC 
G:RBD P:JJD matagal 5269 31 		Context - binuo|VBTS ng|CCB *matagal|JJD* na|CCP internasyonal|JJD 
G:RBD P:JJD matagumpay 4245 16 		Context - ,|PMC at|CCA *matagumpay|JJD* itong|PRO_CCP inilagay|VBTS 
G:RBD P:JJD matatag 4855 3 		Context - kalahok|NNC na|CCP *matatag|JJD* na|CCP tumanggi|VBAF 
G:RBD P:JJD medikal 767 23 		Context - pinilit|VBOF na|CCP *medikal|JJD* na|CCP ibukod|VBOF 
G:RBD P:JJD nakasulat 1618 2 		Context - Binubuo|VBTR ng|CCB *nakasulat|JJD* na|CCP Torah|NNP 
G:RBD P:JJD natural 1518 42 		Context - produkto|NNC ng|CCB *natural|JJD* na|CCP pamimili|VBW 
G:RBD P:JJD normal 844 19 		Context - starter|NNC ang|DTC *normal|JJD* na|CCP natitira|VBTR 
G:RBD P:JJD orihinal 2117 11 		Context - tao|NNC ay|LM *orihinal|JJD* na|CCP napagdesisyonan|VBTS 
G:RBD P:JJD pabilog 4401 10 		Context - ang|DTC isang|PRI_CCP *pabilog|JJD* na|CCP salamin|NNC 
G:RBD P:JJD pangkaraniwan 2296 3 		Context - wika|NNC ang|DTC *pangkaraniwan|JJD* ginagamit|VBTR sa_lugar|RBL 
G:RBD P:JJD partikular 2118 32 		Context - ,|PMC hindi|RBF *partikular|JJD* na|CCP itinalaga|VBTS 
G:RBD P:JJD partikular 2610 9 		Context - Baltimore|NNP ,|PMC *partikular|JJD* na|CCP pinasiyahan|VBTS_VBOF 
G:RBD P:JJD paulit-ulit 5446 4 		Context - maliwanag|JJD na|CCP *paulit-ulit|JJD* na|CCP natuklasang|VBTS_CCP 
G:RBD P:JJD posibilidad 1601 14 		Context - na|CCP may|VBH *posibilidad|JJD* na|CCP maitugtog|VBW 
G:RBD P:JJD propesyonal 634 4 		Context - desisyon|NNC ng|CCB *propesyonal|JJD* na|CCP ipinadala|VBTS 
G:RBD P:JJD regular 6076 27 		Context - %|PMS ang|DTC *regular|JJD* na|CCP nagsisimba|VBTR 
G:RBD P:JJD sapat 1584 18 		Context - ,|PMC naging|VBTS *sapat|JJD* ang|DTC “|NNCA 
G:RBD P:JJD sikat 1471 12 		Context - daan|NNC ,|PMC *sikat|JJD* na|CCP sikat|JJD 
G:RBD P:JJD sikat 1471 14 		Context - sikat|JJD na|CCP *sikat|JJD* sa|CCT mga|DTCP 
G:RBD P:JJD sugatan 893 45 		Context - iniiwan|VBTR ng|CCB *sugatan|JJD* ang|DTC parehong|JJC_CCP 
G:RBD P:JJD tipikal 112 16 		Context - kung|RBK saan|RBQ *tipikal|JJD* na|CCP bukas|JJD 
G:RBD P:JJD tradisyonal 451 46 		Context - kita|NNC sa|CCT *tradisyonal|JJD* na|CCP magkatulong|VBW 
G:RBD P:NNC potensyal 3527 31 		Context - kalidad|NNC o|CCT *potensyal|NNC* na|CCP kumita|VBTS_VBAF 
G:RBD P:NNC tagumpay 1681 12 		Context - nagdadala|VBTR ng|CCB *tagumpay|NNC* na|CCP magkaroon|VBW 
G:RBD P:RBD_CCP nananatiling 2874 11 		Context - iskor|NNC ng|CCB *nananatiling|RBD_CCP* nakatali|RBD pagkatapos|VBW 
G:RBD P:RBT tiyak 2352 50 		Context - makamit|VBW ang_mga|DTCP *tiyak|RBT* na|CCP praktikal|JJD 
G:RBD P:RBW Nang 2858 0 		Context - *Nang|RBW* walang|RBF tumanggap|VBAF 
G:RBD P:RBW Nang 4081 0 		Context - *Nang|RBW* inihanda|VBOF ni|DTP 
G:RBD P:RBW matagal 1803 13 		Context - na|CCP “|NNCA *matagal|RBW* nang|RBD hinamak|RBD 
G:RBD P:RBW nang 2126 22 		Context - iba|PRI –|NNCA *nang|RBW* hindi|RBF kinikilala|VBTR 
G:RBD P:RBW nang 2561 53 		Context - at|CCA nagsimula|VBTS *nang|RBW* sakupin|VBOF ng_mga|DTCP 
G:RBD P:RBW nang 4244 12 		Context - geolohika|NNC ,|PMC *nang|RBW* naghiwalay|VBTS ang|DTC 
G:RBD P:VBAF lumabas 569 1 		Context - Nagsimulang|RBD_CCP *lumabas|VBAF* ang_mga|DTCP kalabang|JJD_CCP 
G:RBD P:VBAF tumaas 2939 9 		Context - dekada|NNC ,|PMC *tumaas|VBAF* ng|CCB makabuluhan|JJD 
G:RBD P:VBOF alamin 4788 16 		Context - na|CCP kailangan|VBS *alamin|VBOF* ang|DTC iskwadra|NNC 
G:RBD P:VBOF pasabugin 1298 19 		Context - dagat|NNC at|CCA *pasabugin|VBOF* ang|DTC baybayin|NNC 
G:RBD P:VBS kailangan 4788 15 		Context - almirante|NNC na|CCP *kailangan|VBS* alamin|VBOF ang|DTC 
G:RBD P:VBTR ipinapakita 3831 1 		Context - Pampublikong|RBD_CCP *ipinapakita|VBTR* sa|CCT National|NNP 
G:RBD P:VBTR kinakailangan 573 22 		Context - oras|NNC na|CCP *kinakailangan|VBTR* ilaro|VBTF ang|DTC 
G:RBD P:VBTR naaakit 1217 30 		Context - espesyal|JJD na|CCP *naaakit|VBTR* sa|CCT mga|DTCP 
G:RBD P:VBTR nagdadala 1681 10 		Context - Amsterdam|NNP na|CCP *nagdadala|VBTR* ng|CCB tagumpay|NNC 
G:RBD P:VBTR nagiging 4595 43 		Context - kung|RBK saan|RBQ *nagiging|VBTR* dilaw|JJD ito|PRO 
G:RBD P:VBTR nakakatakot 754 4 		Context - kabiguan|NNC at|CCA *nakakatakot|VBTR* ang|DTC "|PMS 
G:RBD P:VBTR nararapat 1087 38 		Context - hakbang|NNC na|CCP *nararapat|VBTR* upang|CCB mangibabaw|VBW 
G:RBD P:VBTR pagiging 2167 14 		Context - antas|NNC ng|CCB *pagiging|VBTR* handa|JJD sa|CCT 
G:RBD P:VBTR pagiging 4097 9 		Context - nagkakaiba|VBTR sa|CCT *pagiging|VBTR* independe|JJD ,|PMC 
G:RBD P:VBTR pagiging 4752 6 		Context - antisemitismo|NNC sa|CCT *pagiging|VBTR* lantad|JJD na|CCP 
G:RBD P:VBTR umaandar 4190 5 		Context - patuloy|RBD na|CCP *umaandar|VBTR* kahit|CCT hatinggabi|RBW 
G:RBD P:VBTS Naging 2836 0 		Context - *Naging|VBTS* mapait|JJD at|CCA 
G:RBD P:VBTS Naging 4522 0 		Context - *Naging|VBTS* namamahalang|VBTS_CCP kabisera|NNC 
G:RBD P:VBTS Nakaabot 732 0 		Context - *Nakaabot|VBTS* siya|PRS sa|CCT 
G:RBD P:VBTS Nakatago 417 0 		Context - *Nakatago|VBTS* at|CCA hindi|RBF 
G:RBD P:VBTS Nakatulong 3545 0 		Context - *Nakatulong|VBTS* din|RBI sila|PRP 
G:RBD P:VBTS ipinadala 634 6 		Context - propesyonal|JJD na|CCP *ipinadala|VBTS* mula_sa|RBL Melbourne|NNP 
G:RBD P:VBTS naging 4712 20 		Context - aktor|NNC na|CCP *naging|VBTS* independiyente|JJD mula_sa|RBL 
